Passengerid,Age,Fare,Sex,sibsp,Parch,Pclass,Embarked,Survived
261,28,7.75,M,0,0,3a,Queenstown,0
262,3,31.3875,M,4,2,3a,Southampton,1
263,52,79.65,M,1,1,1a,Southampton,0
264,40,0,M,0,0,1a,Southampton,0
265,28,7.75,F,0,0,3a,Queenstown,0
266,36,10.5,M,0,0,2a,Southampton,0
267,16,39.6875,M,4,1,3a,Southampton,0
268,25,7775,M,1,0,3a,Southampton,1
269,58,153.4625,F,0,1,1a,Southampton,1
270,35,135.6333,F,0,0,1a,Southampton,1
271,28,31,M,0,0,1a,Southampton,0
272,25,0,M,0,0,3a,Southampton,1
273,41,19.5,F,0,1,2a,Southampton,1
274,37,29.7,M,0,1,1a,Cherbourg,0
275,28,7.75,F,0,0,3a,Queenstown,1
276,63,77.9583,F,1,0,1a,Southampton,1
277,45,7.75,F,0,0,3a,Southampton,0
278,28,0,M,0,0,2a,Southampton,0
279,7,29125,M,4,1,3a,Queenstown,0
280,35,20.25,F,1,1,3a,Southampton,1
281,65,7.75,M,0,0,3a,Queenstown,0
282,28,7.8542,M,0,0,3a,Southampton,0
283,16,9.5,M,0,0,3a,Southampton,0
284,19,8.05,M,0,0,3a,Southampton,1
285,28,26,M,0,0,1a,Southampton,0
286,33,8.6625,M,0,0,3a,Cherbourg,0
287,30,9.5,M,0,0,3a,Southampton,1
288,22,7.8958,M,0,0,3a,Southampton,0
289,42,13,M,0,0,2a,Southampton,1
290,22,7.75,F,0,0,3a,Queenstown,1
291,26,78.85,F,0,0,1a,Southampton,1
292,19,91.0792,F,1,0,1a,Cherbourg,1
293,36,12875,M,0,0,2a,Cherbourg,0
294,24,8.85,F,0,0,3a,Southampton,0
295,24,7.8958,M,0,0,3a,Southampton,0
296,28,27.7208,M,0,0,1a,Cherbourg,0
297,23.5,7.2292,M,0,0,3a,Cherbourg,0
298,2,151.55,F,1,2,1a,Southampton,0
299,28,30.5,M,0,0,1a,Southampton,1
300,50,247.5208,F,0,1,1a,Cherbourg,1
301,28,7.75,F,0,0,3a,Queenstown,1
302,28,23.25,M,2,0,3a,Queenstown,1
303,19,0,M,0,0,3a,Southampton,0
304,28,12.35,F,0,0,2a,Queenstown,1
305,28,8.05,M,0,0,3a,Southampton,0
306,0.92,151.55,M,1,2,1a,Southampton,1
307,28,110.8833,F,0,0,1a,Cherbourg,1
308,17,108.9,F,1,0,1a,Cherbourg,1
309,30,24,M,1,0,2a,Cherbourg,0
310,30,56.9292,F,0,0,1a,Cherbourg,1
311,24,83.1583,F,0,0,1a,Cherbourg,1
312,18,262375,F,2,2,1a,Cherbourg,1
313,26,26,F,1,1,2a,Southampton,0
314,28,7.8958,M,0,0,3a,Southampton,0
315,43,26.25,M,1,1,2a,Southampton,0
316,26,7.8542,F,0,0,3a,Southampton,1
317,24,26,F,1,0,2a,Southampton,1
318,54,14,M,0,0,2a,Southampton,0
319,31,164.8667,F,0,2,1a,Southampton,1
320,40,134.5,F,1,1,1a,Cherbourg,1
321,22,7.25,M,0,0,3a,Southampton,0
322,27,7.8958,M,0,0,3a,Southampton,0
323,30,12.35,F,0,0,2a,Queenstown,1
324,22,29,F,1,1,2a,Southampton,1
325,28,69.55,M,8,2,3a,Southampton,0
326,36,135.6333,F,0,0,1a,Cherbourg,1
327,61,6.2375,M,0,0,3a,Southampton,0
328,36,13,F,0,0,2a,Southampton,1
329,31,20525,F,1,1,3a,Southampton,1
330,16,57.9792,F,0,1,1a,Cherbourg,1
331,28,23.25,F,2,0,3a,Queenstown,1
332,45.5,28.5,M,0,0,1a,Southampton,0
333,38,153.4625,M,0,1,1a,Southampton,0
334,16,18,M,2,0,3a,Southampton,0
335,28,133.65,F,1,0,1a,Southampton,1
336,28,7.8958,M,0,0,3a,Southampton,0
337,29,66.6,M,1,0,1a,Southampton,0
338,41,134.5,F,0,0,1a,Cherbourg,1
339,45,8.05,M,0,0,3a,Southampton,1
340,45,35.5,M,0,0,1a,Southampton,0
341,2,26,M,1,1,2a,Southampton,1
342,24,263,F,3,2,1a,Southampton,1
343,28,13,M,0,0,2a,Southampton,0
344,25,13,M,0,0,2a,Southampton,0
345,36,13,M,0,0,2a,Southampton,0
346,24,13,F,0,0,2a,Southampton,1
347,40,13,F,0,0,2a,Southampton,1
348,28,16.1,F,1,0,3a,Southampton,1
349,3,15.9,M,1,1,3a,Southampton,1
350,42,8.6625,M,0,0,3a,Southampton,0
351,23,9225,M,0,0,3a,Southampton,0
352,28,35,M,0,0,1a,Southampton,0
353,15,7.2292,M,1,1,3a,Cherbourg,0
354,25,17.8,M,1,0,3a,Southampton,0
355,28,7225,M,0,0,3a,Cherbourg,0
356,28,9.5,M,0,0,3a,Southampton,0
357,22,55,F,0,1,1a,Southampton,1
358,38,13,F,0,0,2a,Southampton,0
359,28,7.8792,F,0,0,3a,Queenstown,1
360,28,7.8792,F,0,0,3a,Queenstown,1
361,40,27.9,M,1,4,3a,Southampton,0
362,29,27.7208,M,1,0,2a,Cherbourg,0
363,45,14.4542,F,0,1,3a,Cherbourg,0
364,35,7.05,M,0,0,3a,Southampton,0
365,28,15.5,M,1,0,3a,Queenstown,0
366,30,7.25,M,0,0,3a,Southampton,0
367,60,75.25,F,1,0,1a,Cherbourg,1
368,28,7.2292,F,0,0,3a,Cherbourg,1
369,28,7.75,F,0,0,3a,Queenstown,1
370,24,69.3,F,0,0,1a,Cherbourg,1
371,25,55.4417,M,1,0,1a,Cherbourg,1
372,18,6.4958,M,1,0,3a,Southampton,0
373,19,8.05,M,0,0,3a,Southampton,0
374,22,135.6333,M,0,0,1a,Cherbourg,0
375,3,21075,F,3,1,3a,Southampton,0
376,28,82.1708,F,1,0,1a,Cherbourg,1
377,22,7.25,F,0,0,3a,Southampton,1
378,27,211.5,M,0,2,1a,Cherbourg,0
379,20,4.0125,M,0,0,3a,Cherbourg,0
380,19,7775,M,0,0,3a,Southampton,0
381,42,227525,F,0,0,1a,Cherbourg,1
382,1,15.7417,F,0,2,3a,Cherbourg,1
383,32,7925,M,0,0,3a,Southampton,0
384,35,52,F,1,0,1a,Southampton,1
385,28,7.8958,M,0,0,3a,Southampton,0
386,18,73.5,M,0,0,2a,Southampton,0
387,1,46.9,M,5,2,3a,Southampton,0
388,36,13,F,0,0,2a,Southampton,1
389,28,7.7292,M,0,0,3a,Queenstown,0
390,17,12,F,0,0,2a,Cherbourg,1
391,36,120,M,1,2,1a,Southampton,1
392,21,7.7958,M,0,0,3a,Southampton,1
393,28,7925,M,2,0,3a,Southampton,0
394,23,113275,F,1,0,1a,Cherbourg,1
395,24,16.7,F,0,2,3a,Southampton,1
396,22,7.7958,M,0,0,3a,Southampton,0
397,31,7.8542,F,0,0,3a,Southampton,0
398,46,26,M,0,0,2a,Southampton,0
399,23,10.5,M,0,0,2a,Southampton,0
400,28,12.65,F,0,0,2a,Southampton,1
401,39,7925,M,0,0,3a,Southampton,1
402,26,8.05,M,0,0,3a,Southampton,0
403,21,9825,F,1,0,3a,Southampton,0
404,28,15.85,M,1,0,3a,Southampton,0
405,20,8.6625,F,0,0,3a,Southampton,0
406,34,21,M,1,0,2a,Southampton,0
407,51,7.75,M,0,0,3a,Southampton,0
408,3,18.75,M,1,1,2a,Southampton,1
409,21,7775,M,0,0,3a,Southampton,0
410,28,25.4667,F,3,1,3a,Southampton,0
411,28,7.8958,M,0,0,3a,Southampton,0
412,28,6.8583,M,0,0,3a,Queenstown,0
413,33,90,F,1,0,1a,Queenstown,1
414,28,0,M,0,0,2a,Southampton,0
415,44,7925,M,0,0,3a,Southampton,1
416,28,8.05,F,0,0,3a,Southampton,0
417,34,32.5,F,1,1,2a,Southampton,1
418,18,13,F,0,2,2a,Southampton,1
419,30,13,M,0,0,2a,Southampton,0
420,10,24.15,F,0,2,3a,Southampton,0
421,28,7.8958,M,0,0,3a,Cherbourg,0
422,21,7.7333,M,0,0,3a,Queenstown,0
423,29,7875,M,0,0,3a,Southampton,0
424,28,14.4,F,1,1,3a,Southampton,0
425,18,20.2125,M,1,1,3a,Southampton,0
426,28,7.25,M,0,0,3a,Southampton,0
427,28,26,F,1,0,2a,Southampton,1
428,19,26,F,0,0,2a,Southampton,1
429,28,7.75,M,0,0,3a,Queenstown,0
430,32,8.05,M,0,0,3a,Southampton,1
431,28,26.55,M,0,0,1a,Southampton,1
432,28,16.1,F,1,0,3a,Southampton,1
433,42,26,F,1,0,2a,Southampton,1
434,17,7125,M,0,0,3a,Southampton,0
435,50,55.9,M,1,0,1a,Southampton,0
436,14,120,F,1,2,1a,Southampton,1
437,21,34375,F,2,2,3a,Southampton,0
438,24,18.75,F,2,3,2a,Southampton,1
439,64,263,M,1,4,1a,Southampton,0
440,31,10.5,M,0,0,2a,Southampton,0
441,45,26.25,F,1,1,2a,Southampton,1
442,20,9.5,M,0,0,3a,Southampton,0
443,25,7775,M,1,0,3a,Southampton,0
444,28,13,F,0,0,2a,Southampton,1
445,28,8.1125,M,0,0,3a,Southampton,1
446,4,81.8583,M,0,2,1a,Southampton,1
447,13,19.5,F,0,1,2a,Southampton,1
448,34,26.55,M,0,0,1a,Southampton,1
449,5,19.2583,F,2,1,3a,Cherbourg,1
450,52,30.5,M,0,0,1a,Southampton,1
451,36,27.75,M,1,2,2a,Southampton,0
452,28,19.9667,M,1,0,3a,Southampton,0
453,30,27.75,M,0,0,1a,Cherbourg,0
454,49,89.1042,M,1,0,1a,Cherbourg,1
455,28,8.05,M,0,0,3a,Southampton,0
456,29,7.8958,M,0,0,3a,Cherbourg,1
457,65,26.55,M,0,0,1a,Southampton,0
458,28,51.8625,F,1,0,1a,Southampton,1
459,50,10.5,F,0,0,2a,Southampton,1
460,28,7.75,M,0,0,3a,Queenstown,0
461,48,26.55,M,0,0,1a,Southampton,1
462,34,8.05,M,0,0,3a,Southampton,0
463,47,38.5,M,0,0,1a,Southampton,0
464,48,13,M,0,0,2a,Southampton,0
465,28,8.05,M,0,0,3a,Southampton,0
466,38,7.05,M,0,0,3a,Southampton,0
467,28,0,M,0,0,2a,Southampton,0
468,56,26.55,M,0,0,1a,Southampton,0
469,28,7725,M,0,0,3a,Queenstown,0
470,0.75,19.2583,F,2,1,3a,Cherbourg,1
471,28,7.25,M,0,0,3a,Southampton,0
472,38,8.6625,M,0,0,3a,Southampton,0
473,33,27.75,F,1,2,2a,Southampton,1
474,23,13.7917,F,0,0,2a,Cherbourg,1
475,22,9.8375,F,0,0,3a,Southampton,0
476,28,52,M,0,0,1a,Southampton,0
477,34,21,M,1,0,2a,Southampton,0
478,29,7.0458,M,1,0,3a,Southampton,0
479,22,7.5208,M,0,0,3a,Southampton,0
480,2,12.2875,F,0,1,3a,Southampton,1
481,9,46.9,M,5,2,3a,Southampton,0
482,28,0,M,0,0,2a,Southampton,0
483,50,8.05,M,0,0,3a,Southampton,0
484,63,9.5875,F,0,0,3a,Southampton,1
485,25,91.0792,M,1,0,1a,Cherbourg,1
486,28,25.4667,F,3,1,3a,Southampton,0
487,35,90,F,1,0,1a,Southampton,1
488,58,29.7,M,0,0,1a,Cherbourg,0
489,30,8.05,M,0,0,3a,Southampton,0
490,9,15.9,M,1,1,3a,Southampton,1
491,28,19.9667,M,1,0,3a,Southampton,0
492,21,7.25,M,0,0,3a,Southampton,0
493,55,30.5,M,0,0,1a,Southampton,0
494,71,49.5042,M,0,0,1a,Cherbourg,0
495,21,8.05,M,0,0,3a,Southampton,0
496,28,14.4583,M,0,0,3a,Cherbourg,0
497,54,78.2667,F,1,0,1a,Cherbourg,1
498,28,15.1,M,0,0,3a,Southampton,0
499,25,151.55,F,1,2,1a,Southampton,0
500,24,7.7958,M,0,0,3a,Southampton,0
501,17,8.6625,M,0,0,3a,Southampton,0
502,21,7.75,F,0,0,3a,Queenstown,0
503,28,7.6292,F,0,0,3a,Queenstown,0
504,37,9.5875,F,0,0,3a,Southampton,0
505,16,86.5,F,0,0,1a,Southampton,1
506,18,108.9,M,1,0,1a,Cherbourg,0
507,33,26,F,0,2,2a,Southampton,1
508,28,26.55,M,0,0,1a,Southampton,1
509,28,22525,M,0,0,3a,Southampton,0
510,26,56.4958,M,0,0,3a,Southampton,1
511,29,7.75,M,0,0,3a,Queenstown,1
512,28,8.05,M,0,0,3a,Southampton,0
513,36,26.2875,M,0,0,1a,Southampton,1
514,54,59.4,F,1,0,1a,Cherbourg,1
515,24,7.4958,M,0,0,3a,Southampton,0
516,47,34.0208,M,0,0,1a,Southampton,0
517,34,10.5,F,0,0,2a,Southampton,1
518,28,24.15,M,0,0,3a,Queenstown,0
519,36,26,F,1,0,2a,Southampton,1
520,32,7.8958,M,0,0,3a,Southampton,0
521,30,93.5,F,0,0,1a,Southampton,1
522,22,7.8958,M,0,0,3a,Southampton,0
523,28,7225,M,0,0,3a,Cherbourg,0
524,44,57.9792,F,0,1,1a,Cherbourg,1
525,28,7.2292,M,0,0,3a,Cherbourg,0
526,40.5,7.75,M,0,0,3a,Queenstown,0
527,50,10.5,F,0,0,2a,Southampton,1
528,28,221.7792,M,0,0,1a,Southampton,0
529,39,7925,M,0,0,3a,Southampton,0
530,23,11.5,M,2,1,2a,Southampton,0
531,2,26,F,1,1,2a,Southampton,1
532,28,7.2292,M,0,0,3a,Cherbourg,0
533,17,7.2292,M,1,1,3a,Cherbourg,0
534,28,22.3583,F,0,2,3a,Cherbourg,1
535,30,8.6625,F,0,0,3a,Southampton,0
536,7,26.25,F,0,2,2a,Southampton,1
537,45,26.55,M,0,0,1a,Southampton,0
538,30,106425,F,0,0,1a,Cherbourg,1
539,28,14.5,M,0,0,3a,Southampton,0
540,22,49.5,F,0,2,1a,Cherbourg,1
541,36,71,F,0,2,1a,Southampton,1
542,9,31275,F,4,2,3a,Southampton,0
543,11,31275,F,4,2,3a,Southampton,0
544,32,26,M,1,0,2a,Southampton,1
545,50,106425,M,1,0,1a,Cherbourg,0
546,64,26,M,0,0,1a,Southampton,0
547,19,26,F,1,0,2a,Southampton,1
548,28,13.8625,M,0,0,2a,Cherbourg,1
549,33,20525,M,1,1,3a,Southampton,0
550,8,36.75,M,1,1,2a,Southampton,1
551,17,110.8833,M,0,2,1a,Cherbourg,1
552,27,26,M,0,0,2a,Southampton,0
553,28,7.8292,M,0,0,3a,Queenstown,0
554,22,7225,M,0,0,3a,Cherbourg,1
555,22,7775,F,0,0,3a,Southampton,1
556,62,26.55,M,0,0,1a,Southampton,0
557,48,39.6,F,1,0,1a,Cherbourg,1
558,28,227525,M,0,0,1a,Cherbourg,0
559,39,79.65,F,1,1,1a,Southampton,1
560,36,17.4,F,1,0,3a,Southampton,1
561,28,7.75,M,0,0,3a,Queenstown,0
562,40,7.8958,M,0,0,3a,Southampton,0
563,28,13.5,M,0,0,2a,Southampton,0
564,28,8.05,M,0,0,3a,Southampton,0
565,28,8.05,F,0,0,3a,Southampton,0
566,24,24.15,M,2,0,3a,Southampton,0
567,19,7.8958,M,0,0,3a,Southampton,0
568,29,21075,F,0,4,3a,Southampton,0
569,28,7.2292,M,0,0,3a,Cherbourg,0
570,32,7.8542,M,0,0,3a,Southampton,1
571,62,10.5,M,0,0,2a,Southampton,1
